Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2019,Spain,O3,44788442,60511,6305.1,2595.0,30114.0
2019,Spain,PM10,44788442,60511,14.1,,
2019,Spain,PM2.5,44788442,60511,7.3,14734.0,165485.0
2018,european union countries,NO2,441769203,1793090,7.7,70251.0,761283.0
2018,European Union Countries,O3,441769203,1793090,5519.4,27678.0,313629.0
2018,European Union Countries,PM10,441769203,1793090 km,16.2ug/m,,
2018,European Union Countries,PM2.5,441769203,1793090,10.6,290716.0,3208729.0
2019,European Union Countries,NO2,441994712,1793090,7.2,62591.0,683945.0
2019,European Union Countries,O3,441994712,1793090,5017.3,24655.0,281095.0
2019,European Union Countries,PM10,441994712,1793090,14.4,,
2019,European Union Countries,PM2.5,441994712,1793090,9.1,231286.0,2570060.0
2018,Finland,NO2,5513080,99493,2.4ug/m,134.0,1424.0
2018,Finland,O3,5513080,99493,2523.2,140.0,1544.0
2018,Finland,PM10,5513080,99493,7.1,,
2018,Finland,PM2.5,5513080,99493,4.1,454.0,4866.0
2019,Finland,NO2,5517868,99493,2.7,85.0,975.0
2019,Finland,O3,5517868,99493,2596.0,132.0,1527.0
2019,Finland,PM10,5517868,99493,5.5,,
2019,Finland,PM2.5,5517868,99493,3.6,167.0,1863.0
2018,France,NO2,64893633,370764,6.1,7383.0,85735.0
2018,France,O3,64893633,370764,5833.2,3397.0,41682.0
2018,France,PM10,64893633,370764,13.3,,
2018,France,PM2.5,64893633,370764,8.2,22888.0,265284.0
2019,France,NO2,65040282,370764,5.7,6720.0,78263.0
2019,France,O3,65040282,370764,5388.8,3107.0,38134.0
2019,France,PM10,65040282,370764,12.7,,
2019,France,PM2.5,65040282,370764,7.4,18709.0,217384.0
2018,Greece,NO2,10741033,24582,8.0,2609.0,27388.0
2018,Greece,O3,10741033,24582,8113.1ug/m,961.0,10439.0
2018,Greece,PM10,10741033,24582,19.5,,
2018 year,Greece,PM2.5,10741033,24582 km,12.4,11144.0,116707.0
2019,Greece,NO2,10724467,24582,7.0,2316.0,23215.0
2019,greece,O3,10724467,24582,8353.6,984.0,10257.0
2019,Greece,PM10,10724467,24582,19.3,,
2019,Greece,PM2.5,10724467,24582,11.9,9480.0,94734.0
2018,croatia,NO2,4105440,23884 km,6.4,462.0,4778.0
2018,Croatia,O3,4105440,23884,6583.1,369.0,3945.0
2018,Croatia,PM10,4105440,23884,18.6,,
2018,Croatia,PM2.5,4105440,23884,13.0,4696.0,48568.0
2019,Croatia,NO2,4076191,23884,6.3,497.0,5230.0
2019,Croatia,O3,4076191,23884,6343.8,359.0,3822.0
2019,Croatia,PM10,4076191,23884,16.0,,
2019,Croatia,PM2.5,4076191,23884,10.8,3472.0,36410.0
2018,Hungary,NO2,9778315,27758,9.6,1769.0,20205.0
2018 year,Hungary,O3,9778315,27758,7530.2,870.0,10171.0
2018,Hungary,PM10,9778315,27758 km,23.9,,
2018,Hungary,PM2.5,9778315,27758,16.8,12161.0,138808.0
2019,Hungary,NO2,9772693,27758,9.0,1664.0,18981.0
2019,Hungary,O3,9772693,27758,5347.2,648.0,7660.0
2019,Hungary,PM10,9772693,27758,19.3,,
2019,Hungary,PM2.5,9772693,27758,13.4,8667.0,98816.0
2018,Ireland,NO2,4830367,55482,4.4,184.0,2196.0
2018,Ireland,O3,4830367,55482,2900.1,90.0,1123.0
2018,Ireland,PM10,4830367,55482,10.5,,
2018,Ireland,PM2.5,4830367,55482,6.4ug/m,624.0,7402.0
2019,Ireland,NO2,4904219,55482,3.7,168.0,2043.0
2019,Ireland,O3,4904219,55482,2504.7,74.0,935.0
2019,Ireland,PM10,4904219,55482,10.1,,
2019,Ireland,PM2.5,4904219,55482,5.4,598.0,7161.0
2018,Italy,NO2,60483667,169658,10.6,12296.0,124180.0
2018,Italy,O3,60483667,169658,6957.2,4630.0,48136.0
2018,Italy,PM10,60483667,169658,19.6,,
2018,Italy,PM2.5,60483667,169658,12.7,46884.0,473138.0
2019,Italy,NO2,59816350,169658,10.5,12239.0,122009.0
2019,Italy,O3,59816350,169658,7549.0,4763.0,48766.0
2019,Italy,PM10,59816350,169658,18.7,,
