Year,Country,Population,Populated Area [km2],Air Pollution Average [ug/m3] NO2,Air Pollution Average [ug/m3] O3,Air Pollution Average [ug/m3] PM10,Air Pollution Average [ug/m3] PM2.5,Annual AQI NO2,Annual AQI O3,Annual AQI PM10,Annual AQI PM2.5,Premature Deaths NO2,Premature Deaths O3,Premature Deaths PM10,Premature Deaths PM2.5,Years Of Life Lost NO2,Years Of Life Lost O3,Years Of Life Lost PM10,Years Of Life Lost PM2.5,RenewableData,Average Renewable Data
2019,European Union,441994712,1793090,7.2,5017.3,14.4,9.1,6.79,0.0,13.33,37.92,62591.0,24655.0,8799.34,231286.0,683945.0,281095.0,97366.28,2570060.0,188,184.0
2019,Finland,5517868,99493,2.7,2596.0,5.5,3.6,2.55,0.0,5.09,15.0,85.0,132.0,8799.34,167.0,975.0,1527.0,97366.28,1863.0,431,421.5
2019,France,65040282,370764,5.7,5388.8,12.7,7.4,5.38,0.0,11.76,30.83,6720.0,3107.0,8799.34,18709.0,78263.0,38134.0,97366.28,217384.0,172,168.0
2019,Germany,83018124,213783,10.7,5079.6,13.8,9.3,10.09,0.0,12.78,38.75,13383.0,4804.0,8799.34,34359.0,142396.0,53321.0,97366.28,364836.0,174,170.5
2019,Greece,10724467,24582,7.0,8353.6,19.3,11.9,6.6,0.0,17.87,49.58,2316.0,984.0,8799.34,9480.0,23215.0,10257.0,97366.28,94734.0,197,189.0
2019,Hungary,9772693,27758,9.0,5347.2,19.3,13.4,8.49,0.0,17.87,53.73,1664.0,648.0,8799.34,8667.0,18981.0,7660.0,97366.28,98816.0,126,125.5
2019,Ireland,4904219,55482,3.7,2504.7,10.1,5.4,3.49,0.0,9.35,22.5,168.0,74.0,8799.34,598.0,2043.0,935.0,97366.28,7161.0,12,60.5
2019,Italy,59816350,169658,10.5,7549.0,18.7,12.0,9.91,0.0,17.31,50.0,12239.0,4763.0,8799.34,42658.0,122009.0,48766.0,97366.28,425504.0,182,180.0
2019,Latvia,1919953,32912,3.4,3197.8,11.9,7.0,3.21,0.0,11.02,29.17,130.0,77.0,8799.34,1001.0,1486.0,925.0,97366.28,11414.0,410,405.0
2019,Lithuania,2794155,35587,4.8,3622.6,14.4,9.1,4.53,0.0,13.33,37.92,171.0,136.0,8799.34,1880.0,2012.0,1617.0,97366.28,21721.0,255,251.0
2019,Luxembourg,613891,1658,11.1,4368.4,12.8,7.5,10.47,0.0,11.85,31.25,67.0,18.0,8799.34,93.0,769.0,221.0,97366.28,1084.0,70,80.0
2019,Malta,493556,264,6.9,7374.2,24.9,11.7,6.51,0.0,23.06,48.75,16.0,25.0,8799.34,188.0,190.0,294.0,97366.28,2299.0,85,82.5
2019,Netherlands,17282047,30299,13.2,3555.4,17.0,10.4,12.45,0.0,15.74,43.33,2531.0,548.0,8799.34,6064.0,27531.0,6350.0,97366.28,65862.0,88,80.5
2019,Poland,37972598,196199,8.2,4593.8,20.6,14.4,7.74,0.0,19.07,55.84,3599.0,1996.0,8799.34,35647.0,45879.0,26377.0,97366.28,452427.0,122,118.5
2019,Portugal,9776291,39647,6.5,5162.2,13.3,5.9,6.13,0.0,12.31,24.58,1123.0,397.0,8799.34,2517.0,11869.0,4307.0,97366.28,26442.0,306,304.0
2019,Romania,19414326,70116,9.6,4511.2,18.3,12.7,9.06,0.0,16.94,52.26,4717.0,945.0,8799.34,18470.0,55518.0,11618.0,97366.28,217549.0,243,241.0
2019,Slovakia,5450395,15868,8.6,5561.9,18.1,12.6,8.11,0.0,16.76,52.05,371.0,280.0,8799.34,3462.0,4741.0,3766.0,97366.28,44080.0,169,144.0
2019,Slovenia,2080877,13251,7.9,6729.3,14.9,10.9,7.45,0.0,13.8,45.42,188.0,126.0,8799.34,1147.0,2082.0,1491.0,97366.28,12957.0,217,213.5
2019,Spain,44788442,60511,7.3,6305.1,14.1,7.3,6.89,0.0,13.06,30.42,6675.0,2595.0,8799.34,14734.0,74958.0,30114.0,97366.28,165485.0,184,179.0
2019,Sweden,10230120,110846,2.7,3222.2,8.0,4.3,2.55,0.0,7.41,17.92,105.0,307.0,8799.34,528.0,1071.0,3176.0,97366.28,5254.0,564,555.0
